group,variable,value
Янв,Ангарск,-20
Янв,Иркутск,-18
Янв,Братск,-19
Янв,Листвянка,-15
Янв,Байкальск,-16
Фев,Ангарск,-17
Фев,Иркутск,-16
Фев,Братск,-17
Фев,Листвянка,-15
Фев,Байкальск,-15
Мар,Ангарск,-5
Мар,Иркутск,-5
Мар,Братск,-6
Мар,Листвянка,-5
Мар,Байкальск,-6
Апр,Ангарск,5
Апр,Иркутск,5
Апр,Братск,3
Апр,Листвянка,3
Апр,Байкальск,2
Май,Ангарск,10
Май,Иркутск,10
Май,Братск,8
Май,Листвянка,7
Май,Байкальск,7
Июнь,Ангарск,17
Июнь,Иркутск,15
Июнь,Братск,16
Июнь,Листвянка,13
Июнь,Байкальск,14
Июль,Ангарск,20
Июль,Иркутск,19
Июль,Братск,18
Июль,Листвянка,17
Июль,Байкальск,17
Авг,Ангарск,17
Авг,Иркутск,18
Авг,Братск,16
Авг,Листвянка,15
Авг,Байкальск,15
Сен,Ангарск,10
Сен,Иркутск,11
Сен,Братск,8
Сен,Листвянка,9
Сен,Байкальск,10
Окт,Ангарск,0
Окт,Иркутск,1
Окт,Братск,0
Окт,Листвянка,3
Окт,Байкальск,2
Ноя,Ангарск,-10
Ноя,Иркутск,-11
Ноя,Братск,-10
Ноя,Листвянка,-5
Ноя,Байкальск,-7
Дек,Ангарск,-17
Дек,Иркутск,-16
Дек,Братск,-16
Дек,Листвянка,-10
Дек,Байкальск,-12
